Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
South Africa,36.2,0.23,18.2,3.49429,15,14.67579733,0,50.92185697,3.701428571,40.365,160,118,106,146,65,148,0,49,97,135,102.4
Cuba,102.7,3.37,11.89,4.77275,34.5,16.4837828,0,49.97868892,3.14,54.26,166,177,64,97,135,77,0,124,112,96,104.8
Romania,93.9,0.09,10.7,2.68334,26.8,10.79647588,0,51.55093067,2.90875,61.35166667,124,189,142,114,129,173.5,0,27,117,45,106.05
Poland,123.3,0.16,9.85,3.38593,21,11.99003617,0,51.70690302,2.942857143,61.6525,138,202,111,126,145,158.5,0,23,115,43,106.15
China,136.9,0.15,13.25,6.17187,36.2,18.34325871,0,48.47029142,3.913333333,65.18,172,164,27,91,156,161,0,179,93,19,106.2
Ukraine,77.4,0.46,8.82,4.95092,17.4,21.59801565,0,53.76707292,2.565,53.27,180,215,57,131.5,112.5,126,0,5,136,102,106.5
Singapore,6482.2,27.85,9.34,3.13642,14.1,12.68577051,0,50.59025198,3.435,0,146,209,122,150.5,225,37,0,74,104,0,106.75
United Kingdom,247.6,5.08,10.71,1.52512,15.3,7.677848339,100.1,50.65876632,2.36,63.86,84,188,168,143,180,71,26,72,153.5,28,111.35
Norway,14.2,7.77,11.46,1.67824,7.3,9.923190509,57.1,49.54635697,2.255,58.1,113,178,165,172,32,65,15.5,156,159,72,112.75
Netherlands,397.1,1.09,10.9,2.57434,16.7,8.002346768,46.1,50.24478244,2.27,0,90,184,148,137,205,103,9,99,158,0,113.3
Lithuania,55,0.14,8.75,5.21331,12.6,35.12718217,0,53.92806468,2.5475,39.79,194,218,44,156,87,163,0,4,139,136,114.1
Finland,15.5,0.37,10.45,3.10653,13.9,22.15314556,67.6,50.72152435,2.07,54.99,181,191,124,152,37,133,19,65,162,89,115.3
Bulgaria,66.6,0.32,9.65,1.86459,11.7,11.99783926,0,51.38879851,2.613333333,55.3,139,206,164,160,103.5,138,0,30,134,87,116.15
France,111.3,0.63,11.99,2.43424,11.7,15.24368145,49.8,50.83268354,2.556363636,59.92,162,175,154,160,140,120.5,12,54,138,54,116.95
